,0
0,0.7499087249934672
1,0.6124626298397785
2,0.5554684046953922
3,0.5084451438337559
4,0.48143677097558985
5,0.44430365672707556
6,0.4383004563450813
7,0.41734950314462205
8,0.410488960236311
9,0.3901720314323902
10,0.34132380967587217
11,0.3362251626700162
12,0.3272745405957104
13,0.3238241707682609
14,0.31318994035571823
15,0.31634896530956025
16,0.31634896530956025
